計罰,總額預定,賠償,工期,延遲,心證,逾期,id
0,3,17,3,0,0,43,1
0,0,24,82,0,1,22,2
0,0,12,1,0,0,5,3
0,0,15,1,0,0,16,4
0,0,3,0,0,0,1,5
5,0,2,1,1,0,6,6
0,0,2,0,0,1,1,7
0,0,34,4,0,1,23,8
0,0,9,18,0,0,3,9
0,0,5,3,0,0,5,10
0,0,35,93,0,3,15,11
0,5,13,12,0,0,5,12
0,1,11,0,0,0,0,13
0,0,9,0,0,1,0,14
0,0,53,94,1,0,9,15
0,0,53,94,1,0,9,16
0,1,11,0,0,0,1,17
0,0,21,0,0,0,0,18
0,0,4,0,0,1,0,19
0,0,1,76,0,0,24,20
0,3,17,3,0,0,43,21
0,0,24,82,0,1,22,22
0,0,12,1,0,0,5,23
0,0,15,1,0,0,16,24
0,0,3,0,0,0,1,25
5,0,2,1,1,0,6,26
0,0,2,0,0,1,1,27
0,0,34,4,0,1,23,28
0,0,9,18,0,0,3,29
0,0,5,3,0,0,5,30
0,0,35,93,0,3,15,31
0,5,13,12,0,0,5,32
0,1,11,0,0,0,0,33
0,0,9,0,0,1,0,34
0,0,53,94,1,0,9,35
0,0,53,94,1,0,9,36
0,1,11,0,0,0,1,37
0,0,21,0,0,0,0,38
0,0,4,0,0,1,0,39
0,0,1,76,0,0,24,40
0,0,19,8,0,2,8,41
0,0,43,70,0,0,27,42
0,0,23,0,0,0,2,43
0,0,1,6,0,1,6,44
0,1,3,0,0,0,0,45
2,3,24,66,0,1,59,46
0,0,3,0,0,0,6,47
1,0,12,3,2,0,11,48
0,0,1,0,0,0,0,49
15,1,8,15,0,1,46,50
3,0,17,15,0,0,13,51
0,2,25,1,0,0,20,52
0,0,2,12,0,1,15,53
3,0,15,19,0,1,17,54
3,0,0,171,3,1,4,55
0,0,0,14,4,1,0,56
2,3,11,30,0,0,2,57
0,0,2,8,1,1,7,58
3,0,11,29,0,0,30,59
0,0,8,2,0,0,3,60
1,1,3,0,0,0,18,61
0,0,22,35,0,0,0,62
5,0,1,5,0,0,10,63
0,0,14,2,0,2,26,64
0,0,15,17,0,0,4,65
0,0,6,2,0,1,3,66
1,1,10,82,1,1,39,67
0,0,10,7,0,0,1,68
4,1,3,73,0,0,45,69
0,0,0,2,0,0,4,70
0,0,19,55,3,0,21,71
0,0,3,1,1,0,2,72
5,7,61,7,0,0,154,73
0,0,16,0,3,0,9,74
0,0,4,0,0,0,0,75
0,0,0,33,0,1,47,76
3,0,4,4,0,0,36,77
1,0,11,9,0,0,1,78
0,0,30,0,0,0,8,79
0,0,3,17,0,0,3,80
0,0,5,0,0,0,0,81
0,0,33,7,1,0,0,82
0,0,16,3,0,1,4,83
2,0,7,2,0,0,0,84
0,0,0,0,0,0,5,85
0,1,9,1,0,1,6,86
0,0,29,6,0,0,23,87
10,0,3,4,0,0,7,88
11,3,15,13,0,0,14,89
0,0,24,0,0,0,0,90
1,1,6,4,0,1,28,91
1,5,26,18,0,0,34,92
0,0,0,6,0,1,3,93
0,0,0,3,0,1,0,94
5,0,10,4,2,0,7,95
0,0,0,0,0,0,6,96
7,0,18,30,0,0,50,97
7,0,0,2,0,1,0,98
0,0,7,3,0,0,0,99
1,0,12,3,0,1,30,100
0,0,21,9,0,1,14,101
12,2,4,18,0,0,41,102
0,0,5,3,0,0,0,103
0,2,25,18,0,0,15,104
2,0,11,9,0,0,1,105
3,0,1,5,0,0,8,106
0,0,1,52,0,0,1,107
3,0,7,20,0,0,21,108
0,0,2,2,0,0,2,109
0,0,40,24,3,1,28,110
0,0,26,37,0,0,17,111
3,0,4,5,0,0,4,112
0,0,0,0,0,0,0,113
0,0,2,0,0,1,0,114
0,1,12,17,0,0,20,115
0,2,2,48,0,1,12,116
0,2,2,48,0,1,12,117
0,0,25,0,0,1,0,118
0,0,6,0,0,0,3,119
0,0,38,0,0,0,0,120
0,1,16,0,0,0,0,121
0,1,15,7,0,0,33,122
3,0,6,117,2,1,40,123
0,0,14,21,0,0,22,124
0,0,26,1,0,0,3,125
0,0,4,7,0,1,0,126
0,0,18,53,1,1,26,127
0,1,8,18,0,0,37,128
0,0,17,18,0,2,26,129
0,0,1,1,0,0,1,130
0,0,10,0,0,0,1,131
1,0,2,3,0,1,27,132
0,0,20,5,0,1,6,133
0,2,15,1,0,0,23,134
0,0,12,3,2,1,34,135
0,0,9,2,0,0,15,136
0,0,5,4,0,0,0,137
0,0,7,2,0,0,1,138
0,0,2,0,0,0,1,139
0,0,21,8,0,1,26,140
0,0,1,10,0,0,38,141
3,0,4,62,1,0,52,142
0,1,16,0,0,0,0,143
0,0,3,7,0,0,20,144
0,2,31,1,0,1,17,145
0,2,3,0,0,0,0,146
0,0,24,58,0,0,52,147
2,0,5,3,0,1,15,148
0,0,1,4,0,0,11,149
0,0,11,2,1,0,0,150
0,0,8,66,0,0,1,151
0,0,0,0,0,0,4,152
0,1,9,1,0,0,14,153
0,2,58,31,0,0,0,154
0,0,10,3,0,0,0,155
0,0,5,2,0,1,33,156
0,0,1,0,0,3,0,157
0,0,1,0,0,3,0,158
0,2,18,24,0,0,7,159
0,2,18,25,0,0,7,160
0,3,37,0,3,0,10,161
3,0,10,8,0,1,46,162
0,0,1,0,0,1,2,163
0,6,12,0,0,0,0,164
1,3,35,29,0,4,43,165
0,0,3,0,0,1,1,166
0,0,4,10,0,0,16,167
0,0,14,0,0,3,0,168
0,0,3,57,0,0,19,169
1,3,22,11,0,0,48,170
11,0,4,3,0,1,21,171
1,0,1,37,0,0,7,172
1,1,21,1,0,1,32,173
0,0,0,6,0,0,6,174
0,0,23,47,0,0,22,175
0,0,27,10,0,1,40,176
1,0,19,6,0,0,7,177
1,0,1,12,0,1,27,178
1,0,24,12,11,0,27,179
0,0,18,8,0,0,13,180
0,0,16,0,0,0,5,181
0,0,7,1,0,2,0,182
0,0,19,6,0,0,3,183
0,14,147,55,14,1,72,184
13,0,1,145,7,1,68,185
2,0,5,2,0,0,28,186
0,0,1,29,0,0,34,187
0,0,6,10,0,0,0,188
0,0,5,0,0,0,11,189
0,0,1,0,0,1,20,190
6,1,9,4,3,0,34,191
0,0,5,0,0,0,0,192
0,0,0,32,0,0,11,193
0,0,5,1,0,0,1,194
0,1,8,149,1,0,69,195
0,0,5,0,0,1,7,196
0,0,1,23,0,0,16,197
0,0,15,0,0,0,3,198
0,3,25,1,1,0,3,199
0,0,10,0,0,2,0,200
3,4,12,165,0,0,67,201
0,0,2,0,1,0,0,202
25,7,52,278,5,1,137,203
0,0,54,4,0,3,0,204
0,0,7,229,0,1,15,205
3,0,4,0,0,0,4,206
0,0,14,3,2,3,23,207
0,0,2,0,0,1,2,208
0,0,1,1,0,0,0,209
0,0,0,0,0,0,0,210
0,0,0,0,0,0,0,211
1,4,26,4,0,0,24,212
1,0,14,33,0,0,37,213
3,0,0,61,0,1,34,214
7,2,5,41,5,0,39,215
0,0,5,0,0,1,20,216
0,0,6,0,0,1,1,217
2,0,3,6,0,1,14,218
2,0,8,79,0,0,7,219
0,0,7,4,0,0,9,220
0,1,7,0,0,0,0,221
0,0,12,0,0,0,0,222
0,0,2,6,0,1,7,223
0,0,0,39,0,3,6,224
0,0,1,55,0,3,6,225
0,0,0,11,0,1,8,226
0,0,33,13,0,0,8,227
2,3,8,38,0,1,41,228
0,0,9,0,0,0,3,229
0,0,6,17,0,1,4,230
0,0,0,3,0,0,0,231
0,0,0,8,0,2,10,232
0,1,11,3,0,0,9,233
1,0,15,6,0,0,23,234
29,0,0,82,7,0,40,235
0,0,0,1,0,0,0,236
1,0,0,0,0,1,0,237
0,0,22,13,0,1,0,238
0,0,17,0,0,0,0,239
0,0,0,6,0,0,8,240
1,0,0,3,0,1,0,241
3,0,1,92,0,1,45,242
0,0,12,26,4,2,10,243
0,0,26,2,0,8,4,244
0,0,21,2,0,4,8,245
0,0,3,3,0,0,0,246
1,3,17,88,3,0,9,247
0,0,2,0,0,0,11,248
0,0,8,18,0,1,17,249
1,0,12,7,0,0,20,250
0,0,22,166,1,0,51,251
0,0,22,166,1,0,51,252
1,0,0,0,0,0,12,253
0,0,3,0,0,0,2,254
1,0,27,0,0,0,2,255
0,0,1,0,0,0,0,256
0,0,13,2,0,0,0,257
0,0,29,3,0,0,18,258
0,0,27,5,0,1,0,259
4,0,0,39,0,0,30,260
0,0,20,0,0,1,15,261
0,0,17,14,0,0,50,262
0,1,11,18,0,0,23,263
0,0,26,8,0,1,3,264
0,0,3,31,0,1,32,265
0,0,10,17,1,1,5,266
96,0,3,14,24,1,71,267
0,0,0,4,0,0,3,268
0,0,17,29,0,4,29,269
0,0,6,3,0,1,6,270
0,1,5,1,0,0,1,271
1,2,17,41,0,0,61,272
0,0,5,0,0,6,13,273
8,0,1,103,0,1,34,274
0,0,0,19,0,0,0,275
0,0,20,5,0,1,5,276
0,0,1,0,0,1,17,277
0,0,6,3,0,0,1,278
0,0,7,12,2,1,13,279
5,7,56,6,0,0,150,280
0,1,7,0,0,1,0,281
0,0,50,4,0,2,0,282
4,0,10,57,1,0,87,283
0,1,5,30,0,1,17,284
1,0,28,44,2,0,33,285
2,0,1,1,0,0,11,286
0,0,2,9,0,1,24,287
0,0,1,31,0,0,8,288
0,0,25,38,0,1,35,289
0,1,5,10,0,0,0,290
5,0,9,13,0,0,33,291
0,0,4,0,8,0,1,292
0,0,4,7,0,0,10,293
0,1,5,2,0,1,24,294
0,0,8,5,0,0,3,295
4,0,0,73,6,1,19,296
0,0,8,0,0,0,4,297
3,1,7,82,0,0,25,298
0,0,28,23,1,1,25,299
0,0,0,14,0,1,7,300
0,0,0,33,3,0,9,301
0,0,2,0,0,0,0,302
0,0,1,1,0,0,1,303
0,2,30,3,0,1,0,304
0,0,0,14,0,3,0,305
4,2,19,94,0,1,51,306
42,1,23,30,4,0,182,307
2,0,12,2,0,0,47,308
71,0,11,244,45,1,123,309
0,0,0,11,0,1,3,310
0,0,2,0,0,0,0,311
0,1,17,8,0,0,16,312
0,0,2,26,0,1,0,313
0,0,7,8,1,0,26,314
0,0,6,46,1,0,50,315
7,0,0,62,0,0,42,316
0,0,18,0,0,0,1,317
0,5,10,0,0,0,1,318
3,1,10,100,0,0,23,319
2,0,7,8,1,1,22,320
0,0,23,0,0,0,0,321
0,0,2,1,0,0,8,322
0,0,6,11,0,0,0,323
0,0,12,0,0,0,1,324
0,0,6,6,0,0,1,325
0,0,4,0,0,0,2,326
8,0,6,17,4,1,129,327
5,2,28,18,0,0,190,328
0,5,12,10,0,0,34,329
4,0,1,107,0,0,32,330
0,1,16,7,0,0,11,331
12,0,14,0,0,1,17,332
0,0,0,99,1,1,33,333
0,0,8,0,0,0,3,334
0,0,5,1,0,0,11,335
1,0,3,4,0,0,1,336
0,0,29,0,0,0,1,337
0,0,2,142,0,1,8,338
0,5,5,2,0,0,44,339
0,0,2,10,0,1,32,340
0,0,17,167,7,1,17,341
0,1,13,19,2,0,32,342
0,0,29,0,0,0,0,343
1,0,24,14,0,1,41,344
0,0,18,15,0,0,41,345
0,3,20,3,0,0,29,346
0,2,32,29,1,0,31,347
0,0,7,0,0,0,0,348
