計罰,總額預定,賠償,工期,延遲,心證,逾期,id,Target
0,3,17,3,0,0,43,1,compensatory
0,0,24,82,0,1,22,2,compensatory
0,0,12,1,0,0,5,3,compensatory
0,0,15,1,0,0,16,4,compensatory
0,0,3,0,0,0,1,5,compensatory
5,0,2,1,1,0,6,6,compensatory
0,0,2,0,0,1,1,7,compensatory
0,0,34,4,0,1,23,8,compensatory
0,0,9,18,0,0,3,9,compensatory
0,0,5,3,0,0,5,10,notdefine
0,0,35,93,0,3,15,11,compensatory
0,5,13,12,0,0,5,12,compensatory
0,1,11,0,0,0,0,13,compensatory
0,0,9,0,0,1,0,14,compensatory
0,0,53,94,1,0,9,15,compensatory
0,0,53,94,1,0,9,16,compensatory
0,1,11,0,0,0,1,17,punitive
0,0,21,0,0,0,0,18,compensatory
0,0,4,0,0,1,0,19,punitive
0,0,1,76,0,0,24,20,compensatory
0,3,17,3,0,0,43,21,compensatory
0,0,24,82,0,1,22,22,compensatory
0,0,12,1,0,0,5,23,compensatory
0,0,15,1,0,0,16,24,compensatory
0,0,3,0,0,0,1,25,compensatory
5,0,2,1,1,0,6,26,compensatory
0,0,2,0,0,1,1,27,compensatory
0,0,34,4,0,1,23,28,compensatory
0,0,9,18,0,0,3,29,compensatory
0,0,5,3,0,0,5,30,punitive
0,0,35,93,0,3,15,31,compensatory
0,5,13,12,0,0,5,32,compensatory
0,1,11,0,0,0,0,33,compensatory
0,0,9,0,0,1,0,34,punitive
0,0,53,94,1,0,9,35,compensatory
0,0,53,94,1,0,9,36,compensatory
0,1,11,0,0,0,1,37,compensatory
0,0,21,0,0,0,0,38,punitive
0,0,4,0,0,1,0,39,punitive
0,0,1,76,0,0,24,40,compensatory
0,0,19,8,0,2,8,41,punitive
0,0,43,70,0,0,27,42,punitive
0,0,23,0,0,0,2,43,compensatory
0,0,1,6,0,1,6,44,compensatory
0,1,3,0,0,0,0,45,compensatory
2,3,24,66,0,1,59,46,compensatory
0,0,3,0,0,0,6,47,compensatory
1,0,12,3,2,0,11,48,compensatory
0,0,1,0,0,0,0,49,compensatory
15,1,8,15,0,1,46,50,compensatory
3,0,17,15,0,0,13,51,compensatory
0,2,25,1,0,0,20,52,punitive
0,0,2,12,0,1,15,53,punitive
3,0,15,19,0,1,17,54,compensatory
3,0,0,171,3,1,4,55,compensatory
0,0,0,14,4,1,0,56,compensatory
2,3,11,30,0,0,2,57,compensatory
0,0,2,8,1,1,7,58,punitive
3,0,11,29,0,0,30,59,punitive
0,0,8,2,0,0,3,60,punitive
1,1,3,0,0,0,18,61,punitive
0,0,22,35,0,0,0,62,punitive
5,0,1,5,0,0,10,63,punitive
0,0,14,2,0,2,26,64,compensatory
0,0,15,17,0,0,4,65,compensatory
0,0,6,2,0,1,3,66,compensatory
1,1,10,82,1,1,39,67,compensatory
0,0,10,7,0,0,1,68,compensatory
4,1,3,73,0,0,45,69,punitive
0,0,0,2,0,0,4,70,punitive
0,0,19,55,3,0,21,71,compensatory
0,0,3,1,1,0,2,72,punitive
5,7,61,7,0,0,154,73,punitive
0,0,16,0,3,0,9,74,compensatory
0,0,4,0,0,0,0,75,compensatory
0,0,0,33,0,1,47,76,compensatory
3,0,4,4,0,0,36,77,compensatory
1,0,11,9,0,0,1,78,compensatory
0,0,30,0,0,0,8,79,compensatory
0,0,3,17,0,0,3,80,compensatory
0,0,5,0,0,0,0,81,compensatory
0,0,33,7,1,0,0,82,notdefine
0,0,16,3,0,1,4,83,punitive
2,0,7,2,0,0,0,84,compensatory
0,0,0,0,0,0,5,85,compensatory
0,1,9,1,0,1,6,86,punitive
0,0,29,6,0,0,23,87,compensatory
10,0,3,4,0,0,7,88,compensatory
11,3,15,13,0,0,14,89,compensatory
0,0,24,0,0,0,0,90,compensatory
1,1,6,4,0,1,28,91,compensatory
1,5,26,18,0,0,34,92,compensatory
0,0,0,6,0,1,3,93,compensatory
0,0,0,3,0,1,0,94,compensatory
5,0,10,4,2,0,7,95,compensatory
0,0,0,0,0,0,6,96,compensatory
7,0,18,30,0,0,50,97,punitive
7,0,0,2,0,1,0,98,punitive
0,0,7,3,0,0,0,99,punitive
